shortcode,mediaid,title,owner_username,owner_id,date_local,date_utc,url,mediacount,caption,caption_hashtags,caption_mentions,tagged_users,is_video,video_url,video_view_count,video_duration,likes,comment_count,users_who_commented,all_comments_text,is_sponsored,location_id,location_lat,location_lng,location_name
CNiRUXBqrWU,2549676504949372308,,lourdesmunozsantamaria,274366545,04/11/21 14:19:31,04/11/21 18:19:31,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/170795415_467372534716492_6046323051256061779_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=104&_nc_ohc=xQt2dmn3MykAX8joAD8&edm=ABZsPhsAAAAA&ccb=7-4&oh=053e67863f6b85fdc2f4d55914053d24&oe=6076305B&_nc_sid=4efc9f,1,"El equipo #DataWomen os invitamos a la presentación de nueva version #DatosXViolenciaXMujeres 
👉 miercoles 14 abril 17:30h bit.ly/pdadesviolencia #DataFeminism #opendata #DatosAbiertos #dataviz #datavisualization #ViolenciaMasclista #ViolenciaMachista #DataFeminism #DataWomen",datawomen datosxviolenciaxmujeres datafeminism opendata datosabiertos dataviz datavisualization violenciamasclista violenciamachista datafeminism datawomen,,,True,https://scontent-bos3-1.cdninstagram.com/v/t50.2886-16/169138030_459300011972242_6021269754008532893_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjU3Ni5mZWVkLmRlZmF1bHQifQ&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=110&_nc_ohc=vM0LfztbXMkAX-5YN0y&edm=ALQROFkAAAAA&vs=17905951252837007_3149487345&_nc_vs=HBksFQAYJEdHN1hGQXFTRmc4ZXU2RUJBSjEzZTNEdzJJOVRia1lMQUFBRhUAAsgBABUAGCRHSkhURkFwS2Q3U1RyXzRDQUFGcm1FX1EzSEVfYmtZTEFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMBUAACae%2FtOVxNfOPxUCKAJDMywXQEOqn752yLQYEmRhc2hfYmFzZWxpbmVfMV92MREAdeoHAA%3D%3D&ccb=7-4&oe=60763B92&oh=0a0178d8292e2a63f237cb343af2a862&_nc_sid=30a2ef,282,39.333,-1,3,mercedescoello mireiadelpozof rbncastro,Gran trabajo @@@ Adelante 🙌 @@@ 👏👏,False,,,,
CNh0GoJBhIy,2549548017904914994,,iopendatabcn,3412195726,04/11/21 10:03:49,04/11/21 14:03:49,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/171778248_539622433673804_8425271701016380038_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=JvAIAGpthLcAX88tZNA&edm=ALQROFkAAAAA&ccb=7-4&oh=280bb1b815d83738bea198e8d5ffb4a5&oe=6097D1A5&_nc_sid=30a2ef&ig_cache_key=MjU0OTU0ODAxNzkwNDkxNDk5NA%3D%3D.2-ccb7-4,1,"Dimecres 14 presentem la nova versió dels portals #DadesXViolènciaXDones && #DatosXViolenciaXMujeres! L’equip #DataWomen 🟣 hem recopilat més dades i més tipologies!
👉 bit.ly/pdadesviolencia #DataFeminism #OpenData #DatosAbiertos #datavisualization
#dataViz #Data #dataanalytics #dadesobertes",dadesxviolènciaxdones datosxviolenciaxmujeres datawomen datafeminism opendata datosabiertos datavisualization dataviz data dataanalytics dadesobertes,,,False,,,,-1,0,,,False,,,,
CNe_crEFGqF,2548753486453172869,,lourdesmunozsantamaria,274366545,04/10/21 07:45:14,04/10/21 11:45:14,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/170787043_783174139293557_2710187592830735917_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=105&_nc_ohc=ZZ7G-ah0vU4AX8nI6RZ&edm=ALQROFkAAAAA&ccb=7-4&oh=eeed5a603544763d35ff35e405829e3e&oe=6099B13F&_nc_sid=30a2ef&ig_cache_key=MjU0ODc1MzQ4NjQ1MzE3Mjg2OQ%3D%3D.2-ccb7-4,1,"👩‍💻 Us vull convidar el dimecres 14 d'abril 17:30h presentem la nova versió dels portals #DadesXViolènciaXDones && #DatosXViolenciaXMujeres! L’equip # DataWomen🟣 hem recopilat més dades i més tipologies!
👉 bit.ly/Actul_DxVxD #DataFeminism
#opendata #DatosAbiertos #DadesObertes #ViolenciaMasclista",dadesxviolènciaxdones datosxviolenciaxmujeres datafeminism opendata datosabiertos dadesobertes violenciamasclista,,,False,,,,-1,0,,,False,,,,
CNexeWyF78g,2548692029464362784,,le_flair_,44207959058,04/10/21 05:43:07,04/10/21 09:43:07,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/172372975_873286426581431_3283790889866197231_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=111&_nc_ohc=Fp-IvY6Vaj8AX9JNxa2&edm=AP_V10EAAAAA&ccb=7-4&oh=d58be3cfa4585d5887fa15fa928eafc7&oe=6099D580&_nc_sid=4f375e,3,"Anche nel mondo della scienza la strada verso la parità di genere è ancora molto lunga.

In realtà, l'interesse delle giovani europee verso le STEM è molto alto. In particolare, secondo una ricerca di Microsoft e della London School of Economics del 2019, le studentesse italiane sono sul podio europeo per interesse verso le discipline scientifiche e informatiche.

In Europa si conferma la stessa tendenza: il 42% delle studentesse europee pensa di intraprendere una carriera nelle STEM.

 Alla fine però, su scala mondiale, le studentesse che decidono di iscriversi a una facoltà scientifica sono meno di un terzo del totale.

Le ragioni? Mancanza di modelli e pari opportunità nel settore, che finirebbero per favorire i colleghi. 

Fonti: European Girls in STEM, London School of Economics, 2019.
Why don’t European girls like science or technology?, Andrew Trotman, 2017, News Microsoft.
3 things to know about women in STEM, Johnny Wood, 2020, World Economic Forum.

#womeninstem #womenintech #tech #europe #europa #datafeminism #datajournalism",womeninstem womenintech tech europe europa datafeminism datajournalism,,,False,,,,-1,3,bein_begreen,Who run the world? ➡️ IT girls 🔥🔥🔥🤟,False,,,,
CNdqSQXHqgv,2548378936633370671,,iniciativaidea,22092584209,04/09/21 19:21:04,04/09/21 23:21:04,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/170050034_116229613793331_8161656909077821522_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=103&_nc_ohc=mQUgx2hsWvUAX_U6fqe&edm=ALQROFkAAAAA&ccb=7-4&oh=833f79a42d71cd54373921d6089efaa9&oe=60980E9C&_nc_sid=30a2ef&ig_cache_key=MjU0ODM3ODkzNjYzMzM3MDY3MQ%3D%3D.2-ccb7-4,1,"Los datos nunca, nunca “hablan por sí mismos"".

@kanarinkaprojects  es co-autora de #DataFeminism, un libro que traza un curso para prácticas de ciencia de datos más éticas y empoderadoras.

Agenda su charla “Datos y feminismo” en el #ForoIDEA2021.

🗓23/4
⏰9.30 COL
Si todavía no te sumaste al evento, estás a tiempo de postularte en el link de la bio.",datafeminism foroidea2021,kanarinkaprojects,,False,,,,-1,0,,,False,,,,
CNdAcb5jGhV,2548194918263449685,,codedbias,28687312979,04/09/21 13:15:27,04/09/21 17:15:27,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/170385070_2756364377961496_4704100808980385211_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=104&_nc_ohc=IqJKcwsXwTsAX8bBurX&edm=ALQROFkAAAAA&ccb=7-4&oh=975d1111756c68b13f86780b761b16d2&oe=6098F133&_nc_sid=30a2ef&ig_cache_key=MjU0ODE5NDkxODI2MzQ0OTY4NQ%3D%3D.2-ccb7-4,1,"""Bias is not a thing that is in a few bad people"" - @shalinikantayya talking to @tristanharris and Aza Raskin in the latest episode of #YourUndividedAttention. 

Check out the episode to learn more about #CodedBias and why algorithmic bias is such a huge threat to civil rights. 

Available at the link in our bio.

.
.
.

@socialdilemma #socialdilemma #centerforhumanetechnology #algorithmicbias #codedbias 
#facialrecognition #datafeminism #bigdickdata #artificialintelligence #machinelearning #thefutureisfemale #diversityintech #surveillance #diversifytech #aiforgood #demandtransparency #machinelearningalgorithms #datascientist #womeninstem #diversifystem #banfacialrecognition #womenmakemovies #steminist",yourundividedattention codedbias socialdilemma centerforhumanetechnology algorithmicbias codedbias facialrecognition datafeminism bigdickdata artificialintelligence machinelearning thefutureisfemale diversityintech surveillance diversifytech aiforgood demandtransparency machinelearningalgorithms datascientist womeninstem diversifystem banfacialrecognition womenmakemovies steminist,shalinikantayya tristanharris socialdilemma,centerforhumanetechnology,False,,,,-1,4,lee_chanel_ cokeroluwafemi martinxkirby selfcarekim,"Thank you for making this doccy, loved it ! 👏 @@@ 👏 @@@ Thank you @shalinikantayya @@@ 🙌",False,,,,
CNaTLEcHQtu,2547432862796024686,,technoaufeminin,19213568389,04/08/21 12:01:23,04/08/21 16:01:23,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/169547058_557556712304612_3675232603508306117_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=DuFQzJiTieEAX8L2uKk&edm=ALQROFkAAAAA&ccb=7-4&oh=9e45e1a7cdba4a53f575ac21d2211a81&oe=60988729&_nc_sid=30a2ef&ig_cache_key=MjU0NzQzMjg2Mjc5NjAyNDY4Ng%3D%3D.2-ccb7-4,1,"ON REGARDE 📺 Dans le documentaire CODED BIAS, @joyfulcode, chercheuse au MIT Media Lab, découvre que les visages des femmes et des personnes non blanches sont mal identifiés par la plupart des logiciels de reconnaissance faciale. Sa découverte l’emmène dans une quête de justice sociale contre les biais sexistes et racistes en IA où elle va jusqu’à plaider auprès du Congrès américain. Le documentaire réalisé par @shalinikantayya est enfin accessible sur Netflix, suivez le lien en bio !

#codedbias  #codedbiasfilm #aiforgood #machinebias #diversifytech #artificialintelligence #responsibleai #ethicalai #steminist #codedbiaslewagon #machinelearning #inclusiveai #directedbywomen #democracynow #datafeminism #techladies  #womenwhocode #womeninfilm #aibias",codedbias codedbiasfilm aiforgood machinebias diversifytech artificialintelligence responsibleai ethicalai steminist codedbiaslewagon machinelearning inclusiveai directedbywomen democracynow datafeminism techladies womenwhocode womeninfilm aibias,joyfulcode shalinikantayya,,False,,,,-1,3,cooperathon virtuacompta,"Absolument à voir ! Un combat indispensable pour ne pas perpétuer, pire exacerber, les inégalités existantes ! @@@ Merci à vous pour la référence",False,,,,
CNXXAZVpXW7,2546605296577770939,,odegichile,41320369794,04/07/21 08:37:09,04/07/21 12:37:09,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/169660801_797082070945684_1653719230983778953_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=104&_nc_ohc=ZGoELYgnziMAX8AWlQq&edm=ALQROFkAAAAA&ccb=7-4&oh=2e2e2ff7fcde5849776a9debd916db94&oe=609B4189&_nc_sid=30a2ef&ig_cache_key=MjU0NjYwNTI5NjU3Nzc3MDkzOQ%3D%3D.2-ccb7-4,1,"🗣👩🏽‍⚕️ Hoy 7 de abril es el Día Mundial de la Salud. En este año en que la pandemia por Covid-19 continúa y que Chile ha alcanzado los niveles más álgidos, queremos cuestionar la baja participación femenina y el escaso enfoque de género en las instancias en las que se toman las decisiones para enfrentar la crisis.

A inicios de la pandemia se conformó la Mesa Social Covid-19. Su objetivo hasta el día de hoy, es ser una instancia de diálogo entre autoridades de salud, de gobierno y personas de la academia para trabajar sobre propuestas sanitarias. Aunque la experiencia ha mostrado que las decisiones de la mesa no son vinculantes, algunas de medidas importantes contra la crisis han sido promovidas desde esta instancia, por ejemplo, la urgencia de contar con indicadores actualizados que devino en el acuerdo de emitir un reporte diario con el número de personas contagiadas y la fijación del precio máximo del PCR.

A pesar que el 75% del personal de salud son mujeres, solo 4 de las 14 personas que componen la mesa lo son. Esto da cuenta de la urgencia de incluir un enfoque de género en el manejo de la pandemia, además de contar con un equipo que visibilice las necesidades de las mujeres y los efectos que las medidas pueden tener sobre sus vidas. Si bien en los meses posteriores de 2020 se creó la Mesa de Género Covid-19 en el congreso, es imprescindible que estos esfuerzos se repliquen en donde se toman las decisiones del Plan Paso a Paso, el poder ejecutivo.

En una crisis en que se han profundizado las inequidades y vulneraciones que vivimos las mujeres, nuestra representación en los espacios de decisión es crucial.

#mesasocialcovid19 #pandemia #covid_19 #chile #enfoquedegenero #participacionfemenina #paridaddegenero #paridad #estadisticasdegenero #datafeminism #observatoriodegeneroeinterseccionalidades 

Fuente: Gobierno de Chile (2021)",mesasocialcovid19 pandemia covid_19 chile enfoquedegenero participacionfemenina paridaddegenero paridad estadisticasdegenero datafeminism observatoriodegeneroeintersecc,,,False,,,,-1,0,,,False,,,,
CNVmPbJFjrt,2546109350050937581,,all.the.lady.artists,6273566897,04/06/21 16:11:48,04/06/21 20:11:48,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/169096072_176736350952209_1810280440654727958_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=105&_nc_ohc=_oFN2NsAOiMAX8Yoqs_&edm=AP_V10EAAAAA&ccb=7-4&oh=5f45a643dd6ed203cd6098e41ad38fc2&oe=60990A27&_nc_sid=4f375e,2,"Now there’s a statistic no one publishes. 
.
It can’t be 50% can it? Otherwise the acquisitions numbers wouldn’t look as bad as they do (remember, as per Artnet News’s 2019 study, acquisitions for work by female artists peaked in 2009, showing no discernible upward trend). 
.
As the Guerilla Girls said, you can buy one Jasper Johns for the same price as SIXTY SIX works by female artists, so my gut feeling is even if the acquisition numbers are the same (i.e. a museum acquires six pieces in a given year, three women, three men) the percentage of the budget skews male. @metmuseum @themuseumofmodernart @whitneymuseum @sfmoma, am I right? 
.
.
.
#lessthanhalf #womenartists #femaleartist #guerillagirls #americanmuseums #jasperjohns #feminism #datafeminism",lessthanhalf womenartists femaleartist guerillagirls americanmuseums jasperjohns feminism datafeminism,metmuseum themuseumofmodernart whitneymuseum sfmoma,guerrillagirls art_net_news,False,,,,-1,19,eschmidt3400 shelah.horvitz leighannaplaystrumpet etphotem_art paula_sussman_art lucy_puls melissa.capasso valerilarko minkja99 nancyandrukolson skinnyaliens panhandlearthistory lilywhiprock,"Artnet news also reported that 11% of the acquisitions by museums in the past decade have been works created by women. @@@ LOL. Before women can be considered artists, they have to be considered fully human. We're still working on that. @@@ Thank you for speaking up! @@@ Instead of purchasing lots more pieces by women artists and people of colour, the Tate Modern decides to just purchase and display THIS exact graphic/ statistic by Warhol. A little bit hypocritical 🤔 @@@ 🙌 @@@ ❤️❤️❤️❤️❤️ @@@ 👏👏👏thank you @@@ Bummer! 💔 @@@ 👏👏👏👏👏 @@@ You are so amazing! You are my favorite account 👏 @@@ Damn right !!! @@@ A favorite @@@ This is so CrAzYYyyYyyYyyughUGHHHH",False,378453,40.7794420095,-73.9633592963,"The Metropolitan Museum of Art, New York"
CNUCeYEJsvt,2545670572887952365,,rosa_trigo,1568264226,04/06/21 01:40:02,04/06/21 05:40:02,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/169613690_476353826825568_8554333735496179513_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=100&_nc_ohc=PO1aRNOfuvEAX8hX3a2&edm=ALQROFkAAAAA&ccb=7-4&oh=2cfb19c4464340ca4d5e85f0c31ac7ea&oe=60992339&_nc_sid=30a2ef&ig_cache_key=MjU0NTY3MDU3Mjg4Nzk1MjM2NQ%3D%3D.2-ccb7-4,1,"#Repost @odegichile
• • • • • •
⚠️💊 En los últimos días, miles de usuarias han dado a conocer a través de redes sociales que no han podido comprar sus pastillas anticonceptivas de manera online sin receta médica.

Desde el inicio de la pandemia por Covid-19 y las restricciones a la movilidad, diversos organismos a nivel internacional y nacional han advertido de las consecuencias que estas medidas podrían tener sobre la anticoncepción y el acceso a servicios de salud sexual, dado el colapso de los sistemas de salud, las dificultades de abastecimiento y el temor de las personas de asistir a controles en los servicios de salud por medio a contagiarse. Lamentablemente, en Chile no existieron suficientes medidas para evitarlo y se ha confirmado la preocupación.

Según la “1º Encuesta de Acceso a Salud Sexual y Reproductiva durante la pandemia COVID-19” de Corporación MILES implementada en dos períodos del año 2020, 1 de cada 3 personas consultadas tuvo problemas para obtener métodos anticonceptivos. Las principales razones de esto fueron la falta de stock, el precio de los medicamentos y el temor a contagiarse si acudían a un centro de salud a retirarlos. Cabe destacar que la mayoría de quienes contestaron esta consulta fueron mujeres (96% de las 1.084 personas).

La anticoncepción es un derecho sexual y reproductivo que debe ser garantizado por el Estado. Levantar más barreras para su acceso en el contexto de crisis sanitaria, económica y social que ha traído la pandemia constituye una vulneración grave a los derechos de las personas, siendo las mujeres las principales afectadas.

* Según declaraciones del ISP, este reglamento no es nuevo y es previo a la pandemia, y en teoría, todas las farmacias debieran pedir receta tanto para las compras presenciales como online.

#anticonceptivos #pandemia #derechossexualesyreproductivos #estadisticasdegenero #datafeminism #observatoriodegeneroeinterseccionalidades 

Fuente: Corporación MILES (2020)",repost anticonceptivos pandemia derechossexualesyreproductivos estadisticasdegenero datafeminism observatoriodegeneroeintersecc,odegichile,,False,,,,2,0,,,False,,,,
